,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"W / X / Y","Tani Yuuki",220318,https://open.spotify.com/track/4IfrM44LofE9bSs6TDZS49
2,ベテルギウス,Yuuri,205618,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR
3,シンデレラボーイ,"Saucy Dog",191016,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V
4,なんでもないよ、,"Macaroni Empitsu",184433,https://open.spotify.com/track/5W7Y92LB4jWvu9NeEQ0GZl
5,ミックスナッツ,"Official HIGE DANdism",182799,https://open.spotify.com/track/60ReNXcPcsVFd7nUuQw5HZ
6,カメレオン,"King Gnu",176656,https://open.spotify.com/track/0J0P8iSE6l3pYHbUdNFYdS
7,残響散歌,Aimer,161715,https://open.spotify.com/track/7v8wKvNQQIxkugCFFjrkaO
8,ドライフラワー,Yuuri,158183,https://open.spotify.com/track/4kPlQKwtPrnqLgrmmKFSlA
9,"LOVE DIVE",IVE,151813,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi
10,水平線,"back number",151341,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L
11,Comedy,"Gen Hoshino",146012,https://open.spotify.com/track/5SuOikwiRyPMVoIQDJUgSV
12,きらり,"Fujii Kaze",140448,https://open.spotify.com/track/51oc6MEsXTpnPn6GOw5VuP
13,Dynamite,BTS,139722,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
14,CITRUS,Da-iCE,138637,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR
15,Butter,BTS,138485,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
16,シャッター,Yuuri,138164,https://open.spotify.com/track/19mjCzLuMHZ0Tyn3eI85bo
17,逆夢,"King Gnu",136087,https://open.spotify.com/track/6ZiEWet0uFRwWBCEKCQ8rY
18,一途,"King Gnu",133955,https://open.spotify.com/track/7ncPjJBktLEOpstY5JOUMK
19,恋風邪にのせて,Vaundy,133203,https://open.spotify.com/track/5PeXak0Ox3JmH2oor0qnGt
20,群青,YOASOBI,132343,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk
21,勿忘,"Awesome City Club",130441,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h
22,"Permission to Dance",BTS,127997,https://open.spotify.com/track/3XYRV7ZSHqIRDG87DKTtry
23,"STAY (with Justin Bieber)","The Kid LAROI",120949,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
24,夜に駆ける,YOASOBI,119735,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
25,点描の唄,"Mrs. GREEN APPLE",118047,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
26,魔法の絨毯,"Takaya Kawasaki",116904,https://open.spotify.com/track/3PK5ERLCyMuQ5Cb89GbZVL
27,ハート,Aimyon,114225,https://open.spotify.com/track/6cvKfEw8rDcmXBslqSEC9G
28,踊り子,Vaundy,113861,https://open.spotify.com/track/4xk70Qur2QeRmWIzWPC63V
